处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,移除整行完全一致的重复记录,5630,5630,0
中位数填充缺失值: Tenure,使用中位数 9.00 填充缺失值,5630,5630,264
中位数填充缺失值: WarehouseToHome,使用中位数 14.00 填充缺失值,5630,5630,251
中位数填充缺失值: HourSpendOnApp,使用中位数 3.00 填充缺失值,5630,5630,255
中位数填充缺失值: OrderAmountHikeFromlastYear,使用中位数 15.00 填充缺失值,5630,5630,265
中位数填充缺失值: CouponUsed,使用中位数 1.00 填充缺失值,5630,5630,256
中位数填充缺失值: OrderCount,使用中位数 2.00 填充缺失值,5630,5630,258
中位数填充缺失值: DaySinceLastOrder,使用中位数 3.00 填充缺失值,5630,5630,307
类别标准化: PreferredLoginDevice,Phone → Mobile Phone,5630,5630,1231
类别标准化: PreferredPaymentMode,COD → Cash on Delivery,5630,5630,365
类别标准化: PreferredPaymentMode,CC → Credit Card,5630,5630,273
类别标准化: PreferedOrderCat,Mobile → Mobile Phone,5630,5630,809
